carModel;carPrice
Chrysler Concorde;25935
Chrysler Crossfire;36850
Chrysler Grand Voyager;2218
Chrysler Imperial;2000
Chrysler Le Baron;2000
Chrysler LHS;10922
Chrysler New Yorker;2000
Chrysler Pacifica;31424
Chrysler Prowler;44625
Chrysler PT Cruiser;19908
Chrysler Sebring;25976
Chrysler TC;2000
Chrysler Town and Country;35131
Chrysler Voyager;20951
Dodge Avenger;22825
Dodge Caliber;18739
Dodge Caravan;20481
Dodge Challenger;39230
Dodge Charger;38836
Dodge Colt;2000
Dodge Dakota;26955
Dodge Dart;20150
Dodge Daytona;2000
Dodge Durango;39512
Dodge Dynasty;2000
Dodge Grand Caravan;27101
Dodge Intrepid;23596
Dodge Journey;28166
Dodge Magnum;30827
Dodge Monaco;2000
Dodge Neon;16449
Dodge Nitro;24705
Dodge Omni;2000
Dodge RAM 150;2002
Dodge RAM 250;2022
Dodge Ram 50 Pickup;2000
Dodge Ram Cargo;20806
Dodge Ram Pickup 1500;30623
Dodge Ram Van;2201
Dodge Ram Wagon;14142
Dodge Ramcharger;2000
Dodge Shadow;2000
Dodge Spirit;2000
Dodge SRT Viper;102515
Dodge Stealth;2618
Dodge Stratus;21531
Dodge Viper;99709
Ferrari 360;161979
Ferrari 456M;225028
Ferrari 458 Italia;258060
Ferrari 550;227170
Ferrari 575M;221966
Ferrari 599;334449
Ferrari 612 Scaglietti;313088
Ferrari California;197407
Ferrari California T;198973
Ferrari Enzo;643330
Ferrari F12 Berlinetta;317257
Ferrari F430;205580
Ferrari FF;295000
Ferrari Superamerica;287625
FIAT 124 Spider;26895
FIAT 500;20450
FIAT 500e;31800
FIAT 500L;22121
FIAT 500X;24620
Ford Aerostar;2000
Ford Aspire;2000
Ford Bronco;2697
Ford Bronco II;2000
Ford C-Max Hybrid;25653
Ford Contour;2010
Ford Contour SVT;2765
Ford Crown Victoria;29672
Ford E-150;2077
Ford E-250;2019
Ford Edge;34237
Ford Escape;27459
Ford Escape Hybrid;32125
Ford Escort;13867
Ford E-Series Van;29894
Ford E-Series Wagon;33478
Ford Expedition;56883
Ford Explorer;38451
Ford Explorer Sport;24422
Ford Explorer Sport Trac;30261
Ford F-150;40747
Ford F-150 Heritage;24146
Ford F-150 SVT Lightning;5353
Ford F-250;3280
Ford Festiva;2000
Ford Fiesta;17126
Ford Five Hundred;25304
Ford Flex;36121
Ford Focus;21791
Ford Focus RS;36120
Ford Focus ST;24523
Ford Freestar;25789
Ford Freestyle;27839
Ford Fusion;28808
Ford Fusion Hybrid;29006
Ford GT;149995
Ford LTD Crown Victoria;2000
Ford Mustang;32521
Ford Mustang SVT Cobra;4041
Ford Probe;2000
Ford Ranger;21340
Ford Shelby GT350;55712
Ford Shelby GT500;55486
Ford Taurus;33593
Ford Taurus X;30838
Ford Tempo;2000
Ford Thunderbird;38503
Ford Transit Connect;25111
Ford Transit Wagon;37716
Ford Windstar;28444
Ford Windstar Cargo;20627
Genesis G80;46617
GMC Acadia;40086
GMC Acadia Limited;44850
GMC Canyon;28899
GMC Envoy;33077
GMC Envoy XL;33926
GMC Envoy XUV;32948
GMC Jimmy;11240
GMC Rally Wagon;2000
GMC S-15;2000
GMC S-15 Jimmy;2000
GMC Safari;25105
GMC Safari Cargo;23792
GMC Savana;34804
GMC Savana Cargo;31863
GMC Sierra 1500;40312
GMC Sierra 1500 Classic;27965
GMC Sierra 1500 Hybrid;45193
GMC Sierra 1500HD;33127
GMC Sierra C3;38370
GMC Sierra Classic 1500;4567
GMC Sonoma;18098
GMC Suburban;2948
GMC Syclone;5667
GMC Terrain;30443
GMC Typhoon;6393
GMC Vandura;2000
GMC Yukon;58271
GMC Yukon Denali;3949
GMC Yukon Hybrid;57980
GMC Yukon XL;60971
Honda Accord;27886
Honda Accord Crosstour;33610
Honda Accord Hybrid;32316
Honda Accord Plug-In Hybrid;39780
Honda Civic;22518
Honda Civic CRX;2000
Honda Civic del Sol;2136
Honda Crosstour;33064
Honda CR-V;27968
Honda CR-Z;22289
Honda Element;23146
Honda Fit;18338
Honda Fit EV;36625
Honda HR-V;22315
Honda Insight;21193
Honda Odyssey;36879
Honda Passport;22186
Honda Pilot;36904
Honda Prelude;12569
Honda Ridgeline;34249
Honda S2000;36019
HUMMER H3;37749
HUMMER H3T;34629
Hyundai Accent;15912
Hyundai Azera;36500
Hyundai Elantra;20438
Hyundai Elantra Coupe;19459
Hyundai Elantra GT;19300
Hyundai Elantra Touring;18162
Hyundai Entourage;26615
Hyundai Equus;65042
Hyundai Excel;2000
Hyundai Genesis;43306
Hyundai Genesis Coupe;30578
Hyundai Santa Fe;35031
Hyundai Santa Fe Sport;30525
Hyundai Scoupe;2000
Hyundai Sonata;25708
Hyundai Sonata Hybrid;28488
Hyundai Tiburon;19910
Hyundai Tucson;25971
Hyundai Veloster;20928
Hyundai Veracruz;32220
Hyundai XG300;24249
Hyundai XG350;25099
Infiniti EX;37808
Infiniti EX35;35192
Infiniti FX;50105
Infiniti FX35;41750
Infiniti FX45;49900
Infiniti FX50;58700
Infiniti G Convertible;51750
Infiniti G Coupe;44409
Infiniti G Sedan;38393
Infiniti G20;17609
Infiniti G35;32884
Infiniti G37;36900
Infiniti G37 Convertible;48733
Infiniti G37 Coupe;40730
Infiniti G37 Sedan;37942
Infiniti I30;11904
Infiniti I35;29483
Infiniti J30;2028
Infiniti JX;41950
Infiniti M;55135
Infiniti M30;2000
Infiniti M35;46175
Infiniti M37;48125
Infiniti M45;52767
Infiniti M56;59700
Infiniti Q40;34750
Infiniti Q45;57125
Infiniti Q50;43131
Infiniti Q60 Convertible;54683
Infiniti Q60 Coupe;45647
Infiniti Q70;57761
Infiniti QX;62225
Infiniti QX4;35050
Infiniti QX50;36025
Infiniti QX56;58150
Infiniti QX60;45890
Infiniti QX70;46633
Infiniti QX80;68079
Kia Amanti;25678
Kia Borrego;31723
Kia Cadenza;38393
Kia Forte;19895
Kia K900;56040
Kia Optima;27312
Kia Optima Hybrid;28886
Kia Rio;16810
Kia Rondo;18948
Kia Sedona;32977
Kia Sephia;7066
Kia Sorento;33765
Kia Soul;18047
Kia Soul EV;34250
Kia Spectra;15727
Kia Sportage;26726
Lamborghini Aventador;470050
Lamborghini Diablo;294900
Lamborghini Gallardo;219844
Lamborghini Huracan;234475
Lamborghini Murcielago;374667
Lamborghini Reventon;1500000
Land Rover Defender;33761
Land Rover Discovery;37792
Land Rover Discovery Series II;29519
Land Rover Discovery Sport;41784
Land Rover Freelander;27149
Land Rover LR2;39067
Land Rover LR3;49508
Land Rover LR4;56608
Land Rover Range Rover;118230
Land Rover Range Rover Evoque;50522
Land Rover Range Rover Sport;80023
Lexus CT 200h;31567
Lexus ES 250;2000
Lexus ES 300;31578
Lexus ES 300h;41140
Lexus ES 330;32067
Lexus ES 350;38785
Lexus GS 200t;49798
Lexus GS 300;41500
Lexus GS 350;52624
Lexus GS 400;3749
Lexus GS 430;50575
Lexus GS 450h;61613
Lexus GS 460;54303
Lexus GS F;84440
Lexus GX 460;56299
Lexus GX 470;47188
Lexus HS 250h;37388
Lexus IS 200t;37575
Lexus IS 250;38511
Lexus IS 250 C;42943
Lexus IS 300;34369
Lexus IS 350;41289
Lexus IS 350 C;47223
Lexus IS F;62217
Lexus LFA;375000
Lexus LS 400;4599
Lexus LS 430;56042
Lexus LS 460;78524
Lexus LS 600h L;120313
Lexus LX 450;3975
Lexus LX 470;66672
Lexus LX 570;87147
Lexus NX 200t;36593
Lexus NX 300h;40356
Lexus RC 200t;40075
Lexus RC 300;42690
Lexus RC 350;43966
Lexus RC F;63123
Lexus RX 300;35228
Lexus RX 330;36590
Lexus RX 350;45752
Lexus RX 400h;43340
Lexus RX 450h;52726
Lexus SC 300;3633
Lexus SC 400;3959
Lexus SC 430;67188
Lincoln Aviator;42543
Lincoln Blackwood;51785
Lincoln Continental;47855
Lincoln LS;37970
Lincoln Mark LT;40148
Lincoln Mark VII;2000
Lincoln Mark VIII;2224
Lincoln MKC;40210
Lincoln MKS;41898
Lincoln MKT;44951
Lincoln MKX;45256
Lincoln MKZ;40691
Lincoln MKZ Hybrid;34645
Lincoln Navigator;68918
Lincoln Town Car;49719
Lincoln Zephyr;28995
Lotus Elise;51658
Lotus Esprit;91292
Lotus Evora;71776
Lotus Evora 400;91900
Lotus Exige;69628
Maserati Coupe;83862
Maserati Ghibli;75175
Maserati GranSport;100267
Maserati GranTurismo;145993
Maserati GranTurismo Convertible;155824
Maserati Levante;77500
Maserati Quattroporte;119415
Maserati Spyder;88166
Maybach 57;401357
Maybach 62;452471
Maybach Landaulet;1381375
Mazda 2;15822
Mazda 3;22195
Mazda 323;2000
Mazda 5;22184
Mazda 6;24761
Mazda 626;13787
Mazda 929;2000
Mazda B-Series;16713
Mazda B-Series Pickup;2985
Mazda B-Series Truck;20609
Mazda CX-3;22928
Mazda CX-5;25404
Mazda CX-7;27215
Mazda CX-9;34962
Mazda Mazdaspeed 3;23967
Mazda Mazdaspeed 6;28960
Mazda Mazdaspeed MX-5 Miata;26030
Mazda Mazdaspeed Protege;20230
Mazda Millenia;20623
Mazda MPV;24889
Mazda MX-3;2000
Mazda MX-5 Miata;28301
Mazda MX-6;2000
Mazda Navajo;2000
Mazda Protege;14789
Mazda Protege5;16675
Mazda RX-7;8170
Mazda RX-8;29728
Mazda Tribute;24723
Mazda Tribute Hybrid;29463
Mazda Truck;18811
McLaren 570S;184900
McLaren 650S Coupe;265500
McLaren 650S Spider;280225
McLaren MP4-12C;234200
Mercedes-Benz 190-Class;2000
Mercedes-Benz 300-Class;2386
Mercedes-Benz 350-Class;2183
Mercedes-Benz 400-Class;2398
Mercedes-Benz 420-Class;2093
Mercedes-Benz 500-Class;3644
Mercedes-Benz 560-Class;2310
Mercedes-Benz 600-Class;3476
Mercedes-Benz AMG GT;124100
Mercedes-Benz B-Class Electric Drive;40933
Mercedes-Benz C36 AMG;3960
Mercedes-Benz C43 AMG;4957
Mercedes-Benz C-Class;49298
Mercedes-Benz CLA-Class;38428
Mercedes-Benz CL-Class;160483
Mercedes-Benz CLK-Class;65133
Mercedes-Benz CLS-Class;80448
Mercedes-Benz E55 AMG;5999
Mercedes-Benz E-Class;61857
Mercedes-Benz G-Class;146040
Mercedes-Benz GLA-Class;38564
Mercedes-Benz GLC-Class;40050
Mercedes-Benz GL-Class;84226
Mercedes-Benz GLE-Class;73775
Mercedes-Benz GLE-Class Coupe;88675
Mercedes-Benz GLK-Class;38657
Mercedes-Benz GLS-Class;95550
Mercedes-Benz Maybach;190325
Mercedes-Benz M-Class;61332
Mercedes-Benz Metris;30725
Mercedes-Benz ML55 AMG;5650
Mercedes-Benz R-Class;51435
Mercedes-Benz S-Class;157421
Mercedes-Benz SLC-Class;54125
Mercedes-Benz SL-Class;140150
Mercedes-Benz SLK-Class;57769
Mercedes-Benz SLR McLaren;490000
Mercedes-Benz SLS AMG;189567
Mercedes-Benz SLS AMG GT;218000
Mercedes-Benz SLS AMG GT Final Edition;224830
Mitsubishi 3000GT;5036
Mitsubishi Diamante;26901
Mitsubishi Eclipse;23968
Mitsubishi Eclipse Spyder;29985
Mitsubishi Endeavor;29689
Mitsubishi Expo;2000
Mitsubishi Galant;22899
Mitsubishi i-MiEV;22995
Mitsubishi Lancer;20756
Mitsubishi Lancer Evolution;36752
Mitsubishi Lancer Sportback;20045
Mitsubishi Mighty Max Pickup;2000
Mitsubishi Mirage;14470
Mitsubishi Mirage G4;15395
Mitsubishi Montero;35652
Mitsubishi Montero Sport;27504
Mitsubishi Outlander;25939
Mitsubishi Outlander Sport;23059
Mitsubishi Precis;2000
Mitsubishi Raider;24838
Mitsubishi Sigma;2000
Mitsubishi Vanwagon;2000
Nissan 200SX;2008
Nissan 240SX;4066
Nissan 300ZX;2969
Nissan 350Z;36442
Nissan 370Z;40654
Nissan Altima;26956
Nissan Altima Hybrid;26743
Nissan Armada;48204
Nissan Axxess;2000
Nissan Cube;17500
Nissan Frontier;27462
Nissan GT-R;119030
Nissan Juke;25125
Nissan Leaf;32423
Nissan Maxima;35799
Nissan Murano;36381
Nissan Murano CrossCabriolet;43692
Nissan NV200;21437
Nissan NX;2000
Nissan Pathfinder;35520
Nissan Pulsar;2000
Nissan Quest;33443
Nissan Rogue;26121
Nissan Rogue Select;20825
Nissan Sentra;19147
